# λ	f(λ)
-57.2769802933058	-33.8897843814588
-57.2669802933058	-33.8643836983147
-57.2569802933058	-33.8389705205464
-57.2469802933058	-33.8135448321654
-57.2369802933058	-33.7881066171551
-57.2269802933058	-33.7626558594713
-57.2169802933058	-33.7371925430417
-57.2069802933058	-33.7117166517659
-57.1969802933058	-33.6862281695156
-57.1869802933058	-33.6607270801343
-57.1769802933058	-33.6352133674371
-57.1669802933058	-33.6096870152111
-57.1569802933058	-33.5841480072149
-57.1469802933058	-33.5585963271788
-57.1369802933058	-33.5330319588046
-57.1269802933058	-33.5074548857656
-57.1169802933058	-33.4818650917064
-57.1069802933058	-33.4562625602432
-57.0969802933058	-33.4306472749633
-57.0869802933058	-33.4050192194253
-57.0769802933058	-33.3793783771589
-57.0669802933058	-33.353724731665
-57.0569802933058	-33.3280582664155
-57.0469802933058	-33.3023789648531
-57.0369802933058	-33.2766868103918
-57.0269802933058	-33.2509817864161
-57.0169802933058	-33.2252638762815
-57.0069802933059	-33.1995330633139
-56.9969802933059	-33.1737893308102
-56.9869802933059	-33.1480326620378
-56.9769802933059	-33.1222630402345
-56.9669802933059	-33.0964804486086
-56.9569802933059	-33.0706848703388
-56.9469802933059	-33.0448762885742
-56.9369802933059	-33.0190546864341
-56.9269802933059	-32.993220047008
-56.9169802933059	-32.9673723533554
-56.9069802933059	-32.9415115885061
-56.8969802933059	-32.9156377354597
-56.8869802933059	-32.8897507771858
-56.8769802933059	-32.8638506966238
-56.8669802933059	-32.837937476683
-56.8569802933059	-32.8120111002423
-56.8469802933059	-32.7860715501503
-56.8369802933059	-32.7601188092253
-56.8269802933059	-32.734152860255
-56.8169802933059	-32.7081736859965
-56.8069802933059	-32.6821812691765
-56.7969802933059	-32.6561755924906
-56.7869802933059	-32.6301566386042
-56.7769802933059	-32.6041243901515
-56.7669802933059	-32.5780788297359
-56.7569802933059	-32.5520199399298
-56.7469802933059	-32.5259477032747
-56.7369802933059	-32.4998621022809
-56.7269802933059	-32.4737631194275
-56.7169802933059	-32.4476507371623
-56.7069802933059	-32.4215249379022
-56.6969802933059	-32.3953857040322
-56.6869802933059	-32.369233017906
-56.6769802933059	-32.343066861846
-56.6669802933059	-32.3168872181428
-56.6569802933059	-32.2906940690554
-56.6469802933059	-32.264487396811
-56.6369802933059	-32.2382671836051
-56.6269802933059	-32.2120334116013
-56.6169802933059	-32.1857860629312
-56.6069802933059	-32.1595251196943
-56.5969802933059	-32.1332505639581
-56.5869802933059	-32.1069623777581
-56.5769802933059	-32.0806605430973
-56.5669802933059	-32.0543450419465
-56.5569802933059	-32.028015856244
-56.5469802933059	-32.0016729678959
-56.5369802933059	-31.9753163587755
-56.5269802933059	-31.9489460107237
-56.5169802933059	-31.9225619055484
-56.506980293306	-31.8961640250252
-56.496980293306	-31.8697523508965
-56.486980293306	-31.843326864872
-56.476980293306	-31.8168875486284
-56.466980293306	-31.7904343838092
-56.456980293306	-31.7639673520249
