# Matrix size n	Time [ms]
2	0.1176
3	0.0282
4	0.0387
5	0.0428
6	0.0834
7	0.0491
8	0.0767
9	0.0697
10	0.0984
11	0.1096
12	0.167
13	0.1084
14	0.1279
15	0.7009
16	0.0575
17	0.0588
18	0.0672
19	0.0751
20	0.0752
21	0.0817
22	0.0967
23	0.0859
24	0.1325
25	0.101
26	0.1146
27	0.136
28	0.1075
29	0.1288
30	0.1248
31	0.1323
32	0.1583
33	0.155
34	0.313
35	0.1417
36	0.164
37	0.1466
38	0.1704
39	0.1807
40	0.1836
41	0.1838
42	0.1781
43	0.1817
44	0.2145
45	0.4251
46	0.2062
47	0.222
48	0.2349
49	0.2418
50	0.2426
51	0.2572
52	0.2602
53	0.2745
54	0.6203
55	0.2847
56	0.2887
57	0.2936
58	0.3644
59	0.3234
60	0.3335
61	0.6295
62	0.3238
63	0.3938
64	0.3693
65	0.3615
66	0.4203
67	0.8308
68	0.392
69	0.4486
70	0.4184
71	0.4584
72	0.4488
73	0.6846
74	0.467
75	0.4676
76	0.4858
77	0.4861
78	0.6873
79	0.5218
80	0.5002
81	0.5263
82	1.0889
83	0.5931
84	0.6049
85	0.5868
86	0.5913
87	1.0361
88	0.5835
89	0.6525
90	0.6323
91	1.2182
92	0.749
93	0.6677
94	0.6679
95	0.9617
96	0.6882
97	0.7566
98	1.3094
99	0.7927
100	0.7423
101	0.7564
102	1.4725
103	0.8424
104	0.7949
105	1.4663
106	0.8753
107	0.8594
108	0.8567
109	1.4185
110	0.9661
111	0.9868
112	1.302
113	0.949
114	0.9641
115	1.3915
116	1.0515
117	1.6341
118	0.9726
119	1.0247
120	1.8806
121	1.0887
122	1.0496
123	1.6671
124	1.1318
125	1.1741
126	1.6812
127	1.1354
128	1.9634
129	1.1793
130	1.2361
131	1.8588
132	1.2713
133	2.3485
134	1.3256
135	1.238
136	2.2669
137	1.3956
138	2.3459
139	1.3857
140	2.3832
141	1.3652
142	1.4112
143	2.3552
144	1.4434
145	1.9607
146	1.414
147	2.1221
148	1.5267
149	2.087
150	1.4521
151	2.7623
152	1.4866
153	2.4521
154	1.6603
155	4.907
156	1.6476
157	2.1217
158	2.7621
159	1.5794
160	2.6004
161	1.8716
162	2.8638
163	1.7592
164	2.9082
165	1.6301
166	2.685
167	1.7927
168	2.3762
169	3.2275
170	1.8398
171	3.1816
172	1.8493
173	2.4328
174	3.3994
175	1.801
176	2.9216
177	3.9948
178	2.1788
179	3.7656
180	1.953
181	2.8734
182	6.4185
183	2.0815
184	3.1137
185	4.0082
186	2.3088
187	3.0415
188	3.6959
189	2.184
190	2.61
191	3.8977
192	3.5728
193	2.227
194	3.5723
195	3.8299
196	2.2073
197	3.6683
198	4.508
199	4.1169
200	2.5958
