# x erf_approx erf_exact
-3.00 -0.99997863 -0.99997789
-2.90 -0.99995964 -0.99995888
-2.80 -0.99992527 -0.99992495
-2.70 -0.99986431 -0.99986562
-2.60 -0.99975841 -0.99976390
-2.50 -0.99957821 -0.99959296
-2.40 -0.99927793 -0.99931138
-2.30 -0.99878783 -0.99885670
-2.20 -0.99800453 -0.99813702
-2.10 -0.99677867 -0.99702040
-2.00 -0.99490032 -0.99532214
-1.90 -0.99208270 -0.99279033
-1.80 -0.98915418 -0.98909045
-1.70 -0.98390858 -0.98379047
-1.60 -0.97655297 -0.97634846
-1.50 -0.96644057 -0.96610527
-1.40 -0.95280957 -0.95228526
-1.30 -0.93479335 -0.93400806
-1.20 -0.91091713 -0.91031404
-1.10 -0.88107783 -0.88020504
-1.00 -0.84272996 -0.84270069
-0.90 -0.79689092 -0.79690807
-0.80 -0.74208664 -0.74210086
-0.70 -0.67779115 -0.67780118
-0.60 -0.60385014 -0.60385618
-0.50 -0.52045083 -0.52050002
-0.40 -0.42837389 -0.42839242
-0.30 -0.32862191 -0.32862668
-0.20 -0.22270190 -0.22270246
-0.10 -0.11246289 -0.11246297
0.00 0.00000000 0.00000000
0.10 0.11246289 0.11246297
0.20 0.22270190 0.22270246
0.30 0.32862191 0.32862668
0.40 0.42837389 0.42839242
0.50 0.52045083 0.52050002
0.60 0.60385014 0.60385618
0.70 0.67779115 0.67780118
0.80 0.74208664 0.74210086
0.90 0.79689092 0.79690807
1.00 0.84392129 0.84270069
1.10 0.88107783 0.88020504
1.20 0.91091713 0.91031404
1.30 0.93479335 0.93400806
1.40 0.95280957 0.95228526
1.50 0.96644057 0.96610527
1.60 0.97655297 0.97634846
1.70 0.98390858 0.98379047
1.80 0.98915418 0.98909045
1.90 0.99208270 0.99279033
2.00 0.99490032 0.99532214
2.10 0.99677867 0.99702040
2.20 0.99800453 0.99813702
2.30 0.99878783 0.99885670
2.40 0.99927793 0.99931138
2.50 0.99957821 0.99959296
2.60 0.99975841 0.99976390
2.70 0.99986431 0.99986562
2.80 0.99992527 0.99992495
2.90 0.99995964 0.99995888
3.00 0.99997863 0.99997789
